sample_folder,start_time,question,options,standard_answer,task_type
sample_330,10,In which direction is the silver car moving along the street?,A) Away from the camera B) Toward the camera C) To the left D) To the right,A,Action Perception
sample_350,10,"After putting the sausage in the hot dog buns, what object does the person in the blue shirt immediately pick up?","A) A yellow condiment bottle  
B) A green condiment bottle  
C) A metal tray  
D) A white paper towel",A,Action Perception
sample_367,10,"After cleaning the portafilter with the pink cloth, in which direction is it moved before being inserted into the espresso machine?",A) To the left side of the machine B) To the right side of the machine C) Directly upward D) Directly downward,A,Action Perception
sample_403,10,What text appears on the road surface in the right lane as the vehicle advances through the intersection?,A) ONLY TAXI B) ONLY BUS C) ONLY CAR D) ONLY TRUCK,B,Text-Rich Understanding
sample_410,10,Which object does the person’s hand move toward in the later frames of the video?,"A) Green plastic crate  
B) Blue plastic crate  
C) Black trash bin  
D) White wall",C,Action Perception
sample_436,10,What occurs with the shopping cart as it travels down the aisle?,A) It is loaded with green cans B) It is emptied of items C) It remains empty D) It is loaded with red cans,A,Action Perception
sample_460,10,From which side of the road does a vehicle turn onto the main road during the sequence?,A) Left side B) Right side C) It does not turn D) Both sides,A,Action Perception
sample_462,10,How does the number of people visible in the gallery background change as the video progresses?,A) Increases  B) Decreases  C) Remains constant  D) Fluctuates,A,Counting
sample_466,10,Which individual approaches the man in the gray hoodie as the video progresses?,A) A woman in pink  B) A child in green  C) A man in red  D) A person in black,A,Action Perception
sample_492,10,"As the scene transitions from the parking lot to the grassy area, in which direction do the two large dinosaurs move relative to one another?","A) Towards each other  
B) Away from each other  
C) One circles the other  
D) Both move in the same direction",A,Spatial Understanding
sample_1,20,Which fast-food brand is advertised on the stadium's perimeter boards during the match?,A) Burger King B) McDonald's C) KFC D) Subway,A,Text-Rich Understanding
sample_15,20,What brand name is visible on the cutting board in the kitchen?,A) John Boos B) Boos BlockS C) Butcher Block D) Boos Blocks,B,Text-Rich Understanding
sample_43,20,"What is the correct spelling of the word on the sign that reads ""NEXT _ KITCHEN""?",A) LEVL  B) LEVE  C) LEVEL  D) LEVLE,C,Text-Rich Understanding
sample_54,20,Which compliance certification is displayed on the glove box packaging?,A) FDA Approved B) CE Certified C) Prop 65 Compliant D) ISO Certified,C,Text-Rich Understanding
sample_56,20,What is the number of sheets included in the paper pack shown in the video?,A) 24 B) 36 C) 48 D) 60,B,Counting
sample_113,20,What is written on the package in the person's shirt pocket?,A) SALAD B) SEAFOOD C) SNACK D) BEANS,B,Text-Rich Understanding
sample_118,20,What text is displayed on the loading screen?,"A) loading $1000 value beast  
B) loading $1,000 value beast  
C) loading $1,000 valve beast  
D) loading $1,000 value beast (with distorted characters)",B,Text-Rich Understanding
sample_146,20,"For the incline barbell press exercise, what is the number of repetitions specified for the second set?",A) 6 B) 8 C) 5 D) 15,C,Text-Rich Understanding
sample_169,20,What is the current slope percentage displayed on the screen during the segment where the vehicle speed reaches 79 KM/H?,A) -2% B) -1% C) -3% D) 0%,B,Text-Rich Understanding
sample_173,20,What is the gradient percentage value shown in the metrics display at the end of the sequence?,A) 2% B) 3% C) 4% D) 5%,C,Text-Rich Understanding
sample_179,20,What is the cyclist's heart rate (BPM) at the moment when the speed is displayed as 37 KPH?,A) 178 B) 179 C) 180 D) 181,B,Text-Rich Understanding
sample_182,20,What type of vehicle is visible in the opposite lane?,A) White sedan B) Black SUV C) Blue truck D) No vehicle is visible,A,Object Perception
sample_191,20,What is the highlighted word in the phrase describing the player's initial world?,"A) Mine  
B) Craft  
C) Minecraft  
D) World",C,Text-Rich Understanding
sample_251,20,What color is the glove visible on the steering wheel in the final frame of the video?,A) Black B) White C) Blue D) Red,C,Attribute Perception
sample_306,20,What is the identification number displayed on the parking sign?,A) 103454 B) 103554 C) 103464 D) 104454,A,Text-Rich Understanding
sample_311,20,What is the name displayed on the sign above the stone archway entrance?,A) HONEYDUKES B) OWL POST OFFICE C) FILCH'S EMPORIUM D) FLITCH'S EMPORIUM,C,Text-Rich Understanding
sample_319,20,What is the name of the store visible through the entrance?,A) Outfitters B) Outpost C) Outlets D) Outdoors,A,Text-Rich Understanding
sample_333,20,What is the route number displayed on the front of the red double-decker bus?,A) A12 B) A21 C) A22 D) A31,B,Text-Rich Understanding
sample_362,20,What color is the handle of the container visible on the counter in the final frame?,A) Red B) Yellow C) Blue D) Black,B,Attribute Perception
sample_363,20,What text appears on the yellow sign visible in the coffee preparation area?,A) Every hour B) Fresh coffee C) Hot drinks D) Coffee time,A,Text-Rich Understanding
sample_371,20,What is the brand name printed on the yellow carton seen on the kitchen counter?,A) RUDE HEALTH B) OATLY! C) ALMOND D) SOY,A,Text-Rich Understanding
sample_377,20,What color is the handle of the knife placed on the cutting board next to the bread?,A) Red B) Black C) Blue D) Green,D,Attribute Perception
sample_385,20,What is the license plate number on the black SUV in the center of the frame?,A) NY-3130 B) NY-E1E0 C) NY-8180 D) NY-31E0,A,Text-Rich Understanding
sample_411,20,What color is the spice being added from the small container to the pan during the cooking process?,A) Red B) Brown C) Yellow D) White,B,Attribute Perception
sample_412,20,Which green vegetable is visible on the plate being prepared in the kitchen?,A) Broccoli B) Spinach C) Lettuce D) Cabbage,A,Object Perception
sample_414,20,What is the price displayed on the yellow tag attached to the shelf holding the single-serve fruit containers?,A) 4.50 B) 5.00 C) 5.50 D) 6.00,B,Text-Rich Understanding
sample_418,20,What color is the cap worn by the person standing in the background during the ground scene?,A) Black B) White C) Blue D) Gray,B,Attribute Perception
sample_436,20,What number is displayed on the shelf label near the product display in the grocery store aisle?,A) 12 B) 13 C) 15 D) 18,B,Text-Rich Understanding
sample_437,20,What brand name is printed on the white yogurt containers visible on the shelf?,A) LACTALIS B) GRADOFIL C) GRADIAL D) YOGURFIT,B,Text-Rich Understanding
sample_445,20,What is the exact price displayed on the shelf tag above the product being handled by the person in the initial scene?,A) 18.00 B) 18.45 C) 18.95 D) 19.00,C,Text-Rich Understanding
sample_467,20,What animal emblem is visible on the back of the denim jacket worn by one of the attendees?,A) Lion B) Tiger C) Eagle D) Dragon,B,Object Perception
sample_490,20,What text is printed on the tires of the race car?,A) HOT WHEELS B) HOT WHEEL C) HOT WHEELZ D) HOT WHEELS TV,A,Text-Rich Understanding
sample_19,20,What text appears on the screen when the man leans on the counter?,A) RAMSAY 10 LIVE B) RAMSAY in 10 LIVE C) RAMSAY 10 MINUTES LIVE D) RAMSAY 10,B,Text-Rich Understanding
sample_44,20,In which direction does the person move after clapping their hands?,A) Left B) Right C) Forward D) Backward,B,Action Perception
sample_56,20,What is the name of the paper pack prominently displayed as the visual transition concludes?,A) Cinnamon B) Gingerbread C) Peppermint D) Mistletoe,C,Text-Rich Understanding
sample_59,20,What is the source of the movement observed in the paper stack throughout the video?,"A) A hand adjusting the papers  
B) Wind or air current  
C) Vibration from the surface  
D) Camera movement",A,Action Perception
sample_105,20,What is the model name of the graphics card displayed in the video as it becomes fully visible during the sequence?,A) RTX 4080 SUPER B) RTX 4070 SUPER C) RTX 4070 Ti D) RTX 4090,B,Text-Rich Understanding
sample_107,20,How many iPad Pro devices are revealed in the central display as the image transitions from a placeholder to a clear view?,A) 1  B) 2  C) 3  D) 0,B,Counting
sample_115,20,"In the top-down view of the hands manipulating the graphics card, what is the direction of the card's movement?","A) Left to right  
B) Right to left  
C) Upward  
D) Downward",A,Action Perception
sample_118,20,What color does the background of the loading screen transition to as the progress bar fills?,"A) Blue  
B) Purple  
C) Black  
D) Green",B,Attribute Perception
sample_157,20,In which direction does the person's hand move while adjusting the stocking?,A) Upward B) Downward C) Circular D) Side-to-side,A,Action Perception
sample_172,20,What is the maximum speed displayed on the speedometer during the sequence?,A) 30 B) 31 C) 32 D) 33,C,Attribute Perception
sample_177,20,What is the maximum value displayed for the metric in units per minute during the video sequence?,A) 66 B) 68 C) 76 D) 82,C,Text-Rich Understanding
sample_180,20,What is the minimum heart rate value observed during the video sequence?,A) 71 B) 72 C) 73 D) 74,B,Text-Rich Understanding
sample_191,20,"What phrase immediately follows ""Once you've created your"" in the video?","A) Let's get started.  
B) first ever Minecraft World  
C) Mine  
D) you will spawn in something like this.",B,Text-Rich Understanding
sample_271,20,"After running straight for a few seconds, in which direction does the character turn?",A) Left B) Right C) Continues straight D) Turns around,A,Action Perception
sample_274,20,What action does the character perform immediately after walking forward?,A) Running B) Crouching C) Jumping D) Turning around,B,Action Perception
sample_279,20,What is the minimum speed value displayed for the vehicle during the sequence?,A) 070 B) 071 C) 072 D) 073,B,Text-Rich Understanding
sample_285,20,"After initially holding the box, what action does the character perform next?","A) Continues carrying the box  
B) Drops the box and begins running  
C) Throws the box to the side  
D) Places the box on a vehicle",B,Action Perception
sample_297,20,How does the road gradient (GRAD) change as the cyclist progresses through the sequence?,"A) Remains constant at -1  
B) Gradually becomes more negative  
C) Fluctuates between -1 and -2  
D) Gradually becomes less negative",B,Text-Rich Understanding
sample_304,20,How many cyclists ride through the intersection during the sequence?,A) 1 B) 2 C) 3 D) 4,B,Counting
sample_311,20,What text is revealed on the sign above the entrance as the scene progresses?,A) HOGSMEADE SHOP B) FILCH'S EMPORIUM C) QUIRKE'S D) DIAGON ALLEY,B,Text-Rich Understanding
sample_319,20,"As the camera moves forward through the store toward the outdoor entrance, what specific text becomes clearly visible on the overhead sign spanning between the columns?",A) JURASSIC PARK OUTFITTERS B) DINO WORLD OUTFITTERS C) PREHISTORIC PARK OUTFITTERS D) EXTINCT OUTFITTERS,A,Text-Rich Understanding
sample_353,20,"In the video, in which direction are the hands primarily moving while spreading the rice on the nori?",A) From the left edge to the right edge B) From the right edge to the left edge C) From the center towards the edges D) From the edges towards the center,C,Action Perception
sample_375,20,What specific hand motion is used when drying hands with the paper towel?,"A) Circular rubbing motion  
B) Back-and-forth linear motion  
C) Single downward swipe  
D) Tapping motion",A,Action Perception
sample_382,20,What is the person on the right sidewalk doing as they move forward along the street?,"A) Walking alone  
B) Pushing a stroller  
C) Walking a dog  
D) Carrying a bag",C,Action Perception
sample_387,20,Which object enters the crosswalk from the left side and moves across to the right side during the video sequence?,A) A black car B) A bicycle C) A yellow taxi D) A delivery truck,B,Action Perception
sample_21,30,What product is labeled on the package placed on the cutting board?,A) CHEESE B) BUTTER C) FLOUR D) SUGAR,B,Text-Rich Understanding
sample_34,30,What is the label on the small container the person is holding in the frame where they stand near the kitchen counter?,A) Coriander B) Cumin C) Paprika D) Turmeric,B,Text-Rich Understanding
sample_47,30,What brand name is printed on the label of the hot sauce bottle with the red cap?,A) Tabasco B) Frank's C) Cholula D) Valentina,A,Text-Rich Understanding
sample_57,30,"What is the name of the font displayed in the search results after typing ""water"" into the font search bar?","A) Watermark Script  
B) Wave Script  
C) Watermelon Script  
D) Waterfall Font",C,Text-Rich Understanding
sample_67,30,What model name is printed on the Cricut machine's internal component?,"A) CUT SMART 1  
B) CUT EXPLORE  
C) CUT SMART 2  
D) CUT 3",C,Text-Rich Understanding
sample_68,30,What phrase is displayed in the bottom right corner of the screen throughout the video?,"A) DIY CRAFT TUTORIALS  
B) CRAFT TUTORIALS  
C) TUTORIALS ONLY  
D) NO TEXT",A,Text-Rich Understanding
sample_78,30,What year is specified for the viewing assignment of *Raiders of the Lost Ark*?,A) 1979 B) 1981 C) 1983 D) 1985,B,Text-Rich Understanding
sample_81,30,"What year is listed in parentheses next to ""His Girl Friday"" on the whiteboard?",A) 1938 B) 1939 C) 1940 D) 1941,C,Text-Rich Understanding
sample_136,30,How many distinct small paint blobs are visible on the paint palette?,A) 2 B) 3 C) 4 D) 5,C,Counting
sample_140,30,What accessory is visible on the hand holding the brush?,A) A ring  B) A bracelet  C) A tattoo  D) Nothing,A,Attribute Perception
sample_142,30,Which object is visible on the painter's finger?,A) A bracelet B) A ring C) A watch D) A band-aid,B,Object Perception
sample_148,30,What brand logo is visible on the back of the laptop in the scene where a person is sitting at a desk with a microphone?,A) Dell B) HP C) Apple D) Lenovo,C,Object Perception
sample_150,30,What is the title of the blue book positioned next to the globe on the desk?,"A) ESSENTIALS OF STRENGTH TRAINING AND NUTRITION  
B) ESSENTIALS OF CARDIO TRAINING AND CONDITIONING  
C) ESSENTIALS OF STRENGTH TRAINING AND CONDITIONING  
D) ESSENTIALS OF STRENGTH TRAINING FOR ATHLETES",C,Text-Rich Understanding
sample_153,30,What pattern is visible on the left suspender of the person’s attire?,A) Striped B) Floral C) Polka dot D) Solid,B,Attribute Perception
sample_167,30,What is the current speed in kilometers per hour displayed in the blue circular gauge at the final frame of the video?,A) 13 B) 14 C) 15 D) 16,C,Text-Rich Understanding
sample_172,30,What is the name of the commercial store displayed on the yellow sign visible on the right side of the road?,A) Netto B) Metro C) Lotto D) Kaufland,A,Text-Rich Understanding
sample_191,30,What is the exact word displayed in yellow in the text overlay during the second segment of the video?,"A) tree  
B) trees  
C) treas  
D) tress",B,Text-Rich Understanding
sample_197,30,How many redstone torches are placed on the block in the scene?,A) 2 B) 3 C) 4 D) 1,B,Counting
sample_238,30,What is the shape of the pattern on the wall behind the character in the brown suit?,A) Circles B) Squares C) Diamonds D) Triangles,C,Attribute Perception
sample_265,30,What text is visible on the black bag shown in the room?,"A) MADE IN CHINA
B) MADE IN JAPAN
C) MADE IN KOREA
D) MADE IN VIETNAM",B,Text-Rich Understanding
sample_271,30,What color are the vertical stripes on the character's shirt?,A) Green and purple B) Blue and white C) Red and black D) Yellow and blue,B,Attribute Perception
sample_284,30,What social media platform is displayed on the smartphone screen visible in the video?,A) Facebook B) Twitter C) Instagram D) TikTok,B,Text-Rich Understanding
sample_288,30,Which word appears in the chat messages on the right side of the screen?,A) CICADAS  B) CICADA5  C) CIODAS  D) CICADIS,A,Text-Rich Understanding
sample_297,30,What is written on the brown road sign visible on the right side of the road during the cycling sequence?,"A) Grimsel
B) Haslital
C) Susten
D) Furka",B,Text-Rich Understanding
sample_307,30,How many plastic crates are placed next to the white appliance on the left side of the street?,A) 0 B) 1 C) 2 D) 3,C,Counting
sample_325,30,What brand name is printed on the red umbrella outside the café?,A) SUPER BOCK B) SUPER ROCK C) SUPER STOCK D) SUPER DOCK,A,Text-Rich Understanding
sample_342,30,What word is printed on the black food preparation appliance in the background?,A) BURGERS B) NUGGETS C) FRIES D) CHICKEN,B,Text-Rich Understanding
sample_357,30,What number is displayed on the coffee machine's digital screen during the sequence?,A) 20 B) 30 C) 38 D) 40,B,Text-Rich Understanding
sample_370,30,What flavor is indicated on the yellow carton in the background?,A) Almond B) Soy C) Oat D) Cashew,A,Text-Rich Understanding
sample_373,30,What color is the car visible through the window in the background?,A) White B) Red C) Blue D) Black,B,Attribute Perception
sample_374,30,What is the brand name printed on the hot dog package visible in the video?,A) SABRETT B) SABERET C) OSCAR MAYER D) BEEFMASTER,A,Text-Rich Understanding
sample_377,30,"During the food preparation scene, what color is the handle of the knife placed on the counter next to the food trays?",A) Red B) Blue C) Green D) Black,C,Attribute Perception
sample_382,30,What is the company name displayed on the white delivery truck on the left side of the street?,A) LOGKSON B) LUCKSON C) LOCKSON D) LOXSON,C,Text-Rich Understanding
sample_387,30,What color is the bicycle being ridden across the crosswalk at the intersection?,A) Red B) Black C) Blue D) Green,C,Attribute Perception
sample_391,30,What is the identification number on the rear of the tour bus?,A) 345 B) 346 C) 347 D) 364,B,Text-Rich Understanding
sample_410,30,What is the number displayed on the digital scale during the coffee preparation process?,A) 52.84 B) 52.48 C) 58.24 D) 54.28,A,Text-Rich Understanding
sample_429,30,What word is printed on the warning sign attached to the aircraft in the background?,A) WARNING B) CAUTION C) SIGNAL D) DANGER,D,Text-Rich Understanding
sample_440,30,"What is the name of the dairy product printed on the white carton with a blue cap, visible on the lower shelf during the sequence?",A) KEFIR B) KETTLE C) YOGURT D) MILK,A,Text-Rich Understanding
sample_453,30,What text is displayed on the storefront window on the left side of the street?,A) FOR SALE B) FOR LEASE C) OPEN D) FOR RENT,B,Text-Rich Understanding
sample_454,30,What brand name is visible on the water bottle placed on the driver's console?,A) Aquafina B) Deer Park C) Dasani D) Poland Spring,B,Text-Rich Understanding
sample_466,30,What color are the decorative accents on the blue-rimmed glasses displayed on the white shelf?,A) Blue B) White C) Gold D) Silver,C,Attribute Perception
sample_476,30,What text is displayed on the black and white typewriter that is third from the top on the left side?,A) Type Away B) Write On! C) Ghosts Writer D) Word Up,B,Text-Rich Understanding
sample_482,30,What number is displayed on the front hood of the black RC car in the initial scene?,A) 1 B) 7 C) 9 D) 0,A,Text-Rich Understanding
sample_3,30,"After clapping, what specific hand gesture does the player in the blue and red striped jersey perform?",A) Waving both hands B) Pointing with the index finger C) Giving a thumbs-up D) Clenching a fist,B,Action Perception
sample_31,30,What specific hand motion is used to handle the cornflakes in the bowl?,"A) Stirring in a circular motion  
B) Gently tossing upward  
C) Crushing between fingers  
D) Scooping with the palm",C,Action Perception
sample_64,30,What is the brand name displayed on the cardstock package as it is presented in the video?,A) onko B) anko C) auko D) unko,B,Text-Rich Understanding
sample_97,30,"During the segment where the speaker emphasizes a key point, in which direction do their hands move?","A) Inward toward the body  
B) Outward away from the body  
C) Upward  
D) Downward",B,Action Perception
sample_112,30,How many hands does the person use to initially pick up the graphics card?,A) One hand B) Two hands C) Three hands D) No hands,B,Counting
sample_139,30,"After the initial blue stroke on the canvas, what action does the hand perform next?","A) Dips the brush into green paint  
B) Dips the brush into blue paint  
C) Dips the brush into red paint  
D) Dips the brush into yellow paint",B,Action Perception
sample_166,30,What is the highest value shown in the left-side numerical display during the video sequence?,A) 64 B) 68 C) 72 D) 76,C,Text-Rich Understanding
sample_170,30,At what distance marker does the residential area first become clearly visible along the route?,A) 18.9 KM  B) 19.0 KM  C) 19.1 KM  D) 19.2 KM,B,Text-Rich Understanding
sample_171,30,What is the maximum heart rate value displayed during the video sequence?,A) 73 B) 76 C) 78 D) 79,D,Text-Rich Understanding
sample_173,30,"After the initial frame, what value does the cadence display stabilize at throughout the remainder of the video?",A) 68 B) 69 C) 70 D) 71,C,Text-Rich Understanding
sample_182,30,"How does the vehicle's speed, as displayed on the circular gauge, change over the sequence of frames?","A) It decreases from 29 to 28  
B) It remains constant at 29  
C) It increases from 29 to 31  
D) It fluctuates between 29 and 30",C,Text-Rich Understanding
sample_185,30,"What is the lowest value displayed for the ""1/min"" metric during the video sequence?",A) 73 B) 74 C) 75 D) 76,B,Text-Rich Understanding
sample_194,30,In which direction does the animal move relative to the camera between the first and second frames?,A) Towards B) Away C) Left D) Right,A,Spatial Understanding
sample_255,30,What structure does the vehicle approach and pass through as it reaches its destination?,"A) A parking garage entrance  
B) A stadium gate with a barrier arm  
C) A building's main door  
D) A security checkpoint without a barrier",B,Spatial Understanding
sample_271,30,What action is the character performing while moving along the road?,A) Walking B) Running C) Skipping D) Hopping,B,Action Perception
sample_287,30,What action does the character perform after running with the box for a short distance?,A) Opens inventory B) Drops the box C) Enters a vehicle D) Attacks another character,A,Action Perception
sample_306,30,"In the sequence, which direction does the pedestrian wearing a white shirt and blue shorts move along the sidewalk?","A) Towards the camera  
B) Away from the camera  
C) Crosses the street  
D) Stands still",B,Action Perception
sample_314,30,In which direction does the red vehicle move before it exits the frame?,A) Left B) Right C) Up D) Down,A,Action Perception
sample_318,30,In which direction is the person wearing a yellow hoodie walking across the plaza?,A) Left B) Right C) Towards the camera D) Away from the camera,A,Action Perception
sample_324,30,What action does the person holding the white umbrella perform after stepping onto the crosswalk?,"A) Continues walking straight  
B) Turns left  
C) Bends forward  
D) Stops and looks around",C,Action Perception
sample_330,30,What movement does the woman in white make at the outdoor café between the beginning and end of the video?,A) She remains standing still throughout B) She walks away from the café area C) She bends down and then stands back up D) She sits down at the table,C,Action Perception
sample_346,30,In which direction do the hands move when placing cheese slices onto the buns?,"A) Left to right  
B) Right to left  
C) Upward  
D) Downward",A,Action Perception
sample_370,30,What action does the hand perform immediately after placing the glass on the counter?,"A) Wipe the counter with a cloth  
B) Turn off the faucet  
C) Pick up the carton  
D) Move to the sink",A,Action Perception
