sample_id,start_time,question,std_answer,Frame,task_type
85,110,What pattern is the man's shirt?,checkered,Single,Attribute Perception
86,110,"What year is listed next to the viewing assignment ""Brief Encounter"" on the whiteboard?",1945,Single,Text-Rich Understanding
89,110,"What movie is listed under ""VIEWING"" on the whiteboard?",Singin' in the Rain (1952),Single,Text-Rich Understanding
86,120,"What year is specified next to the viewing assignment ""Brief Encounter"" on the whiteboard?",1945,Single,Text-Rich Understanding
91,100,"What film is listed under the ""VIEWING"" section on the whiteboard?",Bonnie + Clyde (1967),Single,Text-Rich Understanding
90,100,"What year is listed in parentheses after ""ERASERHEAD"" in the viewing assignment on the whiteboard?",1977,Single,Text-Rich Understanding
92,100,"What film is listed under the ""VIEWING"" section on the whiteboard?",PSYCHO (1960),Single,Text-Rich Understanding
84,100,What is visible in the Joker's mouth when he smiles?,teeth,Single,Object Perception
91,120,"What film is listed under ""VIEWING"" on the whiteboard?",Bonnie + Clyde (1967),Single,Text-Rich Understanding
71,110,What is the third item with a checkmark on the whiteboard?,STORYBOARD,Single,Text-Rich Understanding
78,100,What is the name of the boat visible in the ocean scene?,Orca,Single,Text-Rich Understanding
95,100,"What film is listed under the ""VIEWING"" section on the whiteboard?",GRIZZLY MAN (2005),Single,Text-Rich Understanding
96,120,What is the title of the viewing assignment listed on the whiteboard?,HOOP DREAMS (1994),Single,Text-Rich Understanding
98,100,What is the title of the viewing assignment listed on the whiteboard?,Spider-Man: Into the Spider-Verse,Single,Text-Rich Understanding
97,100,What is the duration specified in the lab assignment for the stop-motion video?,15-second,Single,Text-Rich Understanding
102,110,"What is specified under ""MUST NOT INCLUDE"" on the whiteboard?","ANY DIALOGUE (EX. SPEECH, LYRICS, TEXT, ETC.)",Single,Text-Rich Understanding
101,120,What are the three items marked with checkmarks at the bottom of the whiteboard?,"TREATMENT, SCRIPT, STORYBOARD",Single,Text-Rich Understanding
104,100,What is the suffix of the GPU model displayed in the top-left corner during the initial landscape scene?,Ti,Single,Text-Rich Understanding
103,110,"What phrase follows ""EFFECTIVE USE OF"" in the ""SHOULD INCLUDE"" section of the whiteboard?",MISE EN SCENE,Single,Text-Rich Understanding
102,120,"What is specified under ""MUST NOT INCLUDE"" for the silent film project?","ANY DIALOGUE (EX. SPEECH, LYRICS, TEXT, ETC.)",Single,Text-Rich Understanding
85,100,What is the focal length range specified for the extreme wide angle lens?,18mm - 24mm,Single,Text-Rich Understanding
110,110,What is written in the blue icon at the top right corner of the screen?,相机,Single,Text-Rich Understanding
105,120,What is the TDP value in watts for the RTX 4070 SUPER?,220,Single,Attribute Perception
108,120,What is the model code printed on the RTX 4090's AD102 GPU chip?,AD102-300-A1,Single,Text-Rich Understanding
102,100,What is the minimum number of camera distances required for the silent film project as specified on the whiteboard?,four,Single,Text-Rich Understanding
108,100,What brand name is labeled on the right graphics card circuit board in the close-up view?,华硕TUF,Single,Text-Rich Understanding
114,100,What is the model name printed on the motherboard?,TOMAHAWK,Single,Text-Rich Understanding
117,100,What word is printed on the middle graphics card in the lower row?,SUPER,Single,Text-Rich Understanding
111,110,What is the frequency of the X2 core in the MediaTek 9000 chip?,3.05GHz,Single,Text-Rich Understanding
118,100,What brand name is printed on the small storage device located to the right of the motherboard?,crucial,Single,Text-Rich Understanding
111,100,What is the clock frequency of the X2 core in the MediaTek 9000 chip diagram?,3.05GHz,Single,Attribute Perception
107,110,What is the initial multi-core score of the MacBook Air 15 in the Cinebench R23 test?,8741,Single,Text-Rich Understanding
120,100,What is the specific processor configuration listed for the Mac Studio that includes a 60-core GPU?,"Apple M2 Ultra with 24-core CPU, 60-core GPU, 32-core Neural Engine",Single,Text-Rich Understanding
138,110,What color is the paintbrush handle?,light purple,Single,Attribute Perception
112,110,What is the power consumption range for the RTX 3080 Ti in the mobile version?,80-150W,Single,Text-Rich Understanding
143,110,What brand name is printed on the 20KG weight plate visible in the background?,Gymleco,Single,Text-Rich Understanding
123,110,What brand name is printed on the central processor chip of the circuit board?,NVIDIA,Single,Text-Rich Understanding
122,110,What is the frame rate and power consumption value listed next to the RTX 4060 in the GPU performance chart?,148fps @ 114W,Single,Text-Rich Understanding
148,120,What brand name is visible on the weight plates in the gym?,ROGUE,Single,Text-Rich Understanding
144,120,What does the sign in the background of the gym say?,PLEASE PUT WEIGHTS AWAY,Single,Text-Rich Understanding
152,120,What color are the buttons on the corset?,silver,Single,Attribute Perception
146,120,What number is printed on the weight plate attached to the barbell?,20,Single,Text-Rich Understanding
151,100,What color are the small decorative motifs on the wall's border?,dark blue,Single,Attribute Perception
151,120,What color are the small triangles on the wall's decorative border?,blue,Single,Attribute Perception
153,110,How many candles are on the candelabrum near the door?,3,Single,Counting
111,120,What is the frequency of the X2 core in the Snapdragon 8 Gen 1 processor?,3.00 GHz,Single,Attribute Perception
160,120,What is the shape of the pendant on the person's necklace?,circular,Single,Attribute Perception
157,100,What color is the button on the person's black garment?,white,Single,Attribute Perception
158,120,What color is the inner section of the woman's earrings?,silver,Single,Attribute Perception
156,100,What type of fruit is in the bowl on the table in the background?,cherries,Single,Object Perception
168,110,What is the name displayed on the building sign visible on the right side of the road in the sequence?,BOXLEY BUILDING,Single,Text-Rich Understanding
166,120,What is the label for the distance reading?,Distanz,Single,Text-Rich Understanding
168,120,What is the name displayed on the green sign in the background during the cycling event?,United Biscuit,Single,Text-Rich Understanding
172,100,What number is displayed on the circular speed limit sign near the railroad crossing?,30,Single,Text-Rich Understanding
175,110,What is the number on the cyclist's jersey wearing the blue and black outfit?,809,Single,Text-Rich Understanding
179,120,What is the number on the back of the cyclist wearing the white and blue jersey?,828,Single,Text-Rich Understanding
184,110,What is the name of the bank visible on the building in the background during the cycling scene?,First Citizens Bank,Single,Text-Rich Understanding
123,120,What is the memory bandwidth (GB/s) of the RTX 4060?,272,Single,Text-Rich Understanding
182,120,What number is displayed on the circular road sign visible on the right side of the road?,70,Single,Text-Rich Understanding
181,110,What is the name of the building sign visible on the right side during the race?,BOXLEY BUILDING,Single,Text-Rich Understanding
187,120,What is the text of the chat message displayed in the game?,As for Halloween.,Single,Text-Rich Understanding
186,120,What is the quantity of Redstone Dust shown in the crafting inventory screen?,51,Single,Counting
193,110,How many arrows are in the player's inventory?,51,Single,Counting
188,120,What is the duration displayed for the Potion of Slow Falling in the tooltip?,1:30,Single,Text-Rich Understanding
190,100,What is the player's experience level number displayed on the screen?,32,Single,Text-Rich Understanding
196,110,What color is the cape worn by the character moving through the scene?,purple,Single,Attribute Perception
196,120,What color is the player character visible near the farm area?,purple,Single,Attribute Perception
193,120,What number is displayed next to the sword in the player's inventory?,51,Single,Text-Rich Understanding
199,100,What does the lower text box in the social media post display?,mining your first piece of iron in a cave,Single,Text-Rich Understanding
192,100,What number is displayed as the player's experience level in the game's heads-up display?,17,Single,Text-Rich Understanding
198,120,What number is shown in the inventory slot at the bottom right of the screen?,49,Single,Text-Rich Understanding
200,120,What is the text message displayed in the game chat?,Mr Bat :(,Single,Text-Rich Understanding
187,100,What is the player's experience level?,39,Single,Text-Rich Understanding
223,110,What is written on the person's t-shirt?,math Antics,Single,Text-Rich Understanding
189,100,What is the player's experience level?,36,Single,Attribute Perception
226,120,What color is the square positioned above the orange rectangle?,yellow,Single,Attribute Perception
230,110,How many red arrows are visible in the division problem display?,2,Single,Counting
223,100,"What color is the letter ""A"" in the word ""Antics"" on the person's shirt?",red,Single,Attribute Perception
231,120,What text is written on the circular gauge to the left of the 'ON OFF' switch?,OP,Single,Text-Rich Understanding
232,100,What year is displayed on the calendar on the wall?,1961,Single,Text-Rich Understanding
198,100,What is the player's experience level?,70,Single,Text-Rich Understanding
197,100,What is the player's experience level?,43,Single,Attribute Perception
228,120,"What color is the letter 'A' in ""Antics"" on the person's shirt?",red,Single,Attribute Perception
199,120,What is the player's experience level?,11,Single,Attribute Perception
245,100,What is the text visible on the wheelchair?,F1,Single,Text-Rich Understanding
237,120,What color is the frame of the window?,white,Single,Attribute Perception
233,100,What is the headline of the newspaper the pink rabbit is reading?,Дело мастера боится!,Single,Text-Rich Understanding
239,110,What small creature is on the green produce?,caterpillar,Single,Object Perception
254,120,What is written on the large sign near the path during the descent?,UCI MOUNTAIN BIKE WORLD SERIES,Single,Text-Rich Understanding
242,110,What is the license plate of the green car?,STE952R,Single,Text-Rich Understanding
252,120,What brand name is visible on the driver's right glove?,Sparco,Single,Text-Rich Understanding
256,110,What color are the shoes of the player in the blue jersey and black shorts with pink trim who is running near the goal line?,orange,Single,Attribute Perception
259,100,What number is on the back of the player in the dark blue jersey when a player in a yellow vest falls?,6,Single,Attribute Perception
251,100,What unit of measurement is indicated on the speedometer?,km/h,Single,Text-Rich Understanding
262,100,What brand name is visible on the yellow sticker of the steering wheel?,Sabelt,Single,Text-Rich Understanding
236,120,What is visible in the patient's mouth when they are smiling?,teeth,Single,Object Perception
264,120,What does the warning text in the bottom right corner state about the speed limit on this section of the German Autobahn?,has no speed limit,Single,Text-Rich Understanding
260,100,What is the speed limit indicated by the circular road sign visible ahead of the car?,50,Single,Text-Rich Understanding
264,100,What does the small text in the bottom right corner state about the speed limit on this section of the road?,This part of the German Autobahn has no speed limit,Single,Text-Rich Understanding
265,120,"What is the Korean text displayed in the subtitle when the phrase ""You no heading?"" appears?",헤딩 못하지?,Single,Text-Rich Understanding
262,110,What is the DRS status when the car is in third gear and traveling at 130 km/h?,ready,Single,Text-Rich Understanding
267,100,What text is displayed on the dashboard of the car?,JKS Classic Cars,Single,Text-Rich Understanding
259,120,What number is on the blue jersey of the player running near the center circle?,47,Single,Text-Rich Understanding
268,110,What text is visible on the driver's red gloves?,freem,Single,Text-Rich Understanding
270,110,What is the first name shown on the profile card in the video?,JEAN,Single,Text-Rich Understanding
268,100,What text is visible on the driver's left glove?,freem,Single,Text-Rich Understanding
272,120,What word is displayed in the chat message from Dj_Cody_P?,SANTA,Single,Text-Rich Understanding
272,110,What is the text message displayed on the phone screen in the bottom right corner?,"Omg, how long was I out??",Single,Text-Rich Understanding
271,110,What is the name of the store displayed on the building the character runs past?,Vapid,Single,Text-Rich Understanding
275,100,What is the instruction displayed in the green text box on the left side of the screen?,Grab your delivery vehicle,Single,Text-Rich Understanding
273,100,What is the name of the street intersection displayed in the game's heads-up display?,Vespucci Blvd & Elgin Ave,Single,Text-Rich Understanding
265,100,What is the symbol on the blue shirt worn by the person performing the resistance band exercise?,bird,Single,Object Perception
275,110,What instruction is displayed in the game's user interface on the left side?,Grab your delivery vehicle,Single,Text-Rich Understanding
274,110,What number is displayed in the bottom left hexagonal UI element?,4,Single,Text-Rich Understanding
274,120,"According to the chat message, how many people are needed to start the job?",6,Single,Text-Rich Understanding
276,100,What time is displayed on the phone screen visible in the video?,19:19,Single,Text-Rich Understanding
276,110,"What is the text of the chat message that includes the phrase ""green light""?",you had the green light xD,Single,Text-Rich Understanding
279,100,What is the time shown in the timer at the bottom right corner of the screen?,0:06,Single,Text-Rich Understanding
284,110,What is the name of the server shown in the connecting screen?,NoPixel 4.0 RP,Single,Text-Rich Understanding
285,110,What does the chat message state XOC is?,the manager,Single,Text-Rich Understanding
277,100,"What is the text of the chat message that includes the word ""scammer""?",scammer get scammed,Single,Text-Rich Understanding
286,120,What is the text in the chat message from the user sggshadow?,KAREN,Single,Text-Rich Understanding
281,120,What message did Davys send in the chat?,GYAT,Single,Text-Rich Understanding
281,110,What is the name of the item highlighted in the inventory menu?,safety hat,Single,Text-Rich Understanding
281,100,"What message does the user ""CautiousDestroyer"" send in the chat?",WTF,Single,Text-Rich Understanding
291,120,What does the chat message from NORTHGATE say?,HAHAHAHA,Single,Text-Rich Understanding
294,100,What color is the logo on the cyclist's jersey?,yellow,Single,Attribute Perception
288,100,What is the name of the current location displayed in the game's interface?,Chamberlain Hills,Single,Text-Rich Understanding
293,110,What is the name of the gun club displayed on the wall in the room?,LOS SANTOS GUN CLUB,Single,Text-Rich Understanding
290,120,What is the message from KAZTIC in the chat?,Friend on grinder?,Single,Text-Rich Understanding
293,120,What does the sign on the wall in the background say?,THANKS FOR VISITING,Single,Text-Rich Understanding
287,120,What message does FestiveSunnyMan post in the chat?,maybe you got a ticket?,Single,Text-Rich Understanding
292,100,What number is displayed on the building sign in the background?,24,Single,Text-Rich Understanding
298,120,What brand name is visible on the bicycle handlebar?,ONEUP,Single,Text-Rich Understanding
298,100,What brand name is visible on the bicycle handlebar?,ONEUP,Single,Text-Rich Understanding
300,100,What is the text displayed on the blue road sign visible ahead on the highway?,150m,Single,Text-Rich Understanding
303,120,What region name is displayed on the green sign of the train?,Hauts-de-France,Single,Text-Rich Understanding
304,120,What is written on the vertical banner hanging from the building?,Crate&Barrel,Single,Text-Rich Understanding
305,120,What is the name of the street shown on the green sign?,W 24 ST,Single,Text-Rich Understanding
298,110,What brand name is visible on the bike's handlebar?,ONEUP,Single,Text-Rich Understanding
305,100,What text appears on the purple banner near the outdoor seating area?,IL PATIO,Single,Text-Rich Understanding
308,110,"What word is displayed below ""UNIVERSAL STUDIOS"" on the building?",Store,Single,Text-Rich Understanding
312,110,What is the prominent word displayed on the left banner?,Universal,Single,Text-Rich Understanding
310,110,What is written on the green wall above the pink refrigerator?,CAULDRON CAKE,Single,Text-Rich Understanding
306,100,What is the name displayed on the building sign on the right side of the street?,TOWER,Single,Text-Rich Understanding
306,110,What does the vertical sign on the building display?,GIFTS,Single,Text-Rich Understanding
312,100,What color are the flowers in the planter on the right side of the walkway?,purple,Single,Attribute Perception
312,120,What word is prominently displayed on the vertical banner near the walkway?,WAR,Single,Text-Rich Understanding
314,110,What word is written on the brown barrel near the military vehicle?,Gel,Single,Text-Rich Understanding
315,110,What color are the objects on the small boat near the left dock?,red,Single,Attribute Perception
313,120,What is the word painted on the road at the intersection?,STOP,Single,Text-Rich Understanding
319,110,"What is the text below ""TRANSFORMERS"" on the building sign?",THE RIDE-3D,Single,Text-Rich Understanding
313,110,What is the text on the sign attached to the building on the left side?,GILDED AGE,Single,Text-Rich Understanding
324,120,What is the name of the dental clinic displayed on the building sign?,HARADA DENTAL CLINIC,Single,Text-Rich Understanding
321,110,What text is displayed on the small yellow sign located near the center of the structure?,POW,Single,Text-Rich Understanding
320,120,What symbol is depicted on the red banner to the left of the statue?,dragon head,Single,Object Perception
325,100,What word is written on the awning of the restaurant on the right side of the street?,TAPAS,Single,Text-Rich Understanding
326,110,What letter is on the blue circular traffic sign?,P,Single,Text-Rich Understanding
329,100,What color is the design on the man's gray t-shirt?,red,Single,Attribute Perception
325,110,What is the license plate number of the black car parked on the right side of the street?,01 IX 53,Single,Text-Rich Understanding
330,110,What is the website address displayed on the building?,oportotouristapartments.com,Single,Text-Rich Understanding
334,100,What is the name displayed on the building's sign in the background?,REGENT,Single,Text-Rich Understanding
340,110,What does the sign on the door say?,PULL,Single,Text-Rich Understanding
327,100,What color is the roof of the large building on the left side of the bridge?,orange,Single,Attribute Perception
331,120,What is the route number displayed on the white bus on the left side of the street?,197,Single,Text-Rich Understanding
332,100,What is the name of the jewelry store visible on the right side of the street?,HEARTS ON FIRE,Single,Text-Rich Understanding
340,100,What is written on the can placed on the wooden counter?,Diet Coke,Single,Text-Rich Understanding
342,110,What food item is listed on the ticket below the number 220?,Bac Egg Ch Biscuit,Single,Text-Rich Understanding
348,110,What color is the logo on the yellow folder?,green,Single,Attribute Perception
349,100,What is written on the box the person is holding?,Big Mac,Single,Text-Rich Understanding
351,110,What brand name is on the blue carton?,WILD OATS,Single,Text-Rich Understanding
352,110,What brand name is visible on the green dish soap bottle near the sink?,Fairy,Single,Text-Rich Understanding
359,120,What flavor is indicated on the pink carton?,Almond,Single,Text-Rich Understanding
354,110,What number is displayed on the digital scale in the first frame?,16.5,Single,Text-Rich Understanding
353,120,What small black object is on the counter near the yellow sponge?,phone,Single,Object Perception
361,120,What number is displayed on the digital scale?,446.8,Single,Text-Rich Understanding
352,120,What brand of dish soap is visible near the sink?,Fairy,Single,Text-Rich Understanding
362,100,What text is printed on the bottle being held?,SHAKE ME!,Single,Text-Rich Understanding
368,100,What is the name of the coffee brand printed on the bag?,ANYA CAFE,Single,Text-Rich Understanding
364,100,What number is displayed on the digital scale in the kitchen scene?,985,Single,Text-Rich Understanding
347,110,What small green round object is placed on top of the sandwich in the container?,pickle,Single,Object Perception
366,120,What brand name is visible on the yellow carton in the background?,RUDE HEALTH,Single,Text-Rich Understanding
368,120,What word is visible on the coffee bag when it is held up?,CAFÉ,Single,Text-Rich Understanding
373,120,What text is displayed on the door sign?,PULL,Single,Text-Rich Understanding
373,110,What color are the shorts worn by the person visible through the window in the background?,blue,Single,Attribute Perception
372,100,"What type of milk is in the carton labeled ""RUDE HEALTH""?",Almond,Single,Text-Rich Understanding
374,110,What color are the wheels of the black car visible through the window?,silver,Single,Attribute Perception
375,120,What is the brand name visible on the machine in the video?,NEMCO,Single,Text-Rich Understanding
375,100,What brand name is visible on the metal grid device used in the food preparation process?,NEMCO,Single,Text-Rich Understanding
365,110,What number is displayed on the scale during the coffee preparation?,18,Single,Text-Rich Understanding
375,110,What brand name is visible on the machine in the video?,NEMCO,Single,Text-Rich Understanding
366,110,What design is visible on the coffee cup being filled?,face with eyes,Single,Attribute Perception
378,100,What type of marks are visible on the pieces of meat in the leftmost container?,grill marks,Single,Attribute Perception
383,100,What is written on the side of the bus?,Clean Air Hybrid Electric Bus,Single,Text-Rich Understanding
382,110,What is the alphanumeric code on the roof sign of the yellow taxi in the foreground?,1J59,Single,Text-Rich Understanding
385,110,What is the name of the business displayed on the sign of the building on the right side of the street?,WOLF PAPER & TWINE CO.,Single,Text-Rich Understanding
385,120,What is the license plate number of the black SUV in the center?,T716049C,Single,Text-Rich Understanding
384,120,"What text appears below ""Harris Bank"" on the sign visible on the left side of the street?",NOW OPEN,Single,Text-Rich Understanding
391,120,What is the name of the street displayed on the sign at the intersection?,Cedar,Single,Text-Rich Understanding
387,100,What is the title displayed on the back of the green bus?,A BRONX TALE,Single,Text-Rich Understanding
388,120,"What brand name is displayed on the billboard directly below the ""BUD LIGHT"" advertisement?",T-Mobile,Single,Text-Rich Understanding
391,110,What is the name of the street indicated by the green sign on the right side?,Liberty,Single,Text-Rich Understanding
394,110,What color are the shoes in the billboard advertisement?,yellow,Single,Attribute Perception
392,120,What is the number on the side of the bus?,5793,Single,Text-Rich Understanding
397,100,What is the name of the street displayed on the green sign at the intersection?,E 78 ST,Single,Text-Rich Understanding
393,120,"What are the Chinese characters displayed on the building to the right of the ""CHASE"" bank at the intersection?",永發大廈,Single,Text-Rich Understanding
397,110,What is the name of the street indicated by the green sign on the right side of the intersection?,E 78 ST,Single,Text-Rich Understanding
414,110,What does the black sign hanging above the shelves say?,Canned fruit,Single,Text-Rich Understanding
397,120,What is the name of the street displayed on the green sign in the intersection?,E 78 ST,Single,Text-Rich Understanding
400,120,What is the name on the vertical sign on the left building?,Harry Potter,Single,Text-Rich Understanding
400,100,What is the name of the street shown on the green street sign?,W 51 St,Single,Text-Rich Understanding
396,120,What is the number displayed on the building with the green awning on the right side of the street?,733,Single,Text-Rich Understanding
401,100,What is written on the blue sign next to the hair salon?,Nails,Single,Text-Rich Understanding
425,110,What is the name of the lake labeled on the map display in the cockpit?,Bodensee,Single,Text-Rich Understanding
417,100,What is the text displayed in the bottom left corner of the screen?,ayvri,Single,Text-Rich Understanding
429,120,What color are the small patterns on the man's shirt on the right?,white,Single,Attribute Perception
426,120,"What year is stated on the Milk-Bone package as ""loved since""?",1908,Single,Text-Rich Understanding
431,110,What color is the button located to the right of the central screen in the cockpit?,red,Single,Attribute Perception
413,100,What type of utensils are in the container on the left side of the stove?,tongs,Single,Object Perception
435,100,What color is the small rectangular sticker on the left side of the cockpit?,white,Single,Attribute Perception
432,100,What large water body is visible in the distance during the flight?,lake,Single,Object Perception
441,100,What is the price displayed on the shelf label adjacent to the green and white product boxes?,13.5,Single,Text-Rich Understanding
441,120,What number is displayed on the price tag below the family gravy boxes?,13,Single,Text-Rich Understanding
436,100,What is the price displayed on the shelf tag for the product in the store aisle?,8.5,Single,Text-Rich Understanding
438,120,What is the numerical value on the red price tag near the green and white cartons?,17,Single,Text-Rich Understanding
442,100,What is the exact price listed on the 'FRAICHE' product tag?,10.95,Single,Text-Rich Understanding
444,100,What colors are the flowers on the packaged products in the refrigerated display?,blue and yellow,Single,Attribute Perception
442,110,"What is the price of the ""CRÈME FRAÎCHE"" product displayed on the shelf?",15.5,Single,Text-Rich Understanding
446,110,What brand name is printed on the green box?,Bregott,Single,Text-Rich Understanding
443,100,What is the price displayed on the label beneath the stacked containers?,14.5,Single,Text-Rich Understanding
446,100,What is the price displayed on the shelf tag above the section where the person is placing the white bottles?,14.5,Single,Text-Rich Understanding
443,120,What is the exact price displayed on the tag for the crème fraîche product?,14.95,Single,Text-Rich Understanding
447,120,What brand name is visible on the green boxes stacked on the right side of the aisle?,Bregott,Single,Text-Rich Understanding
451,110,What is the clearance height indicated on the overpass sign?,4.6m,Single,Text-Rich Understanding
454,120,What color is the wristband on the driver's wrist?,Red,Single,Attribute Perception
453,100,What is the text displayed on the left vertical screen inside the vehicle?,E6001,Single,Text-Rich Understanding
453,120,What is the alphanumeric code displayed above the steering wheel?,E6001,Single,Text-Rich Understanding
458,100,What is written on the brown sign on the right side of the road?,A great way to The Gabba,Single,Text-Rich Understanding
457,120,What is the route number displayed on the back of the yellow bus?,50,Single,Text-Rich Understanding
430,120,What is visible on the pilot's left hand?,ring,Single,Object Perception
461,120,What is written on the yellow bus?,SCHOOL BUS,Single,Text-Rich Understanding
458,120,What is the speed limit indicated by the circular sign on the right side of the road?,60,Single,Text-Rich Understanding
452,110,What is the name displayed on the orange sign along the street?,Kennards Self Storage,Single,Text-Rich Understanding
461,110,What color is the bus in the left artwork?,yellow,Single,Attribute Perception
459,110,What number is displayed on the yellow diamond-shaped road sign?,20,Single,Text-Rich Understanding
462,110,What is the name displayed on the nameplate above the framed videos?,Shaun Downey,Single,Text-Rich Understanding
